run_num,dice,Avg Error,Avg FA rate,Avg MD rate,dice Position,Avg Error Position,Avg FA rate Position,Avg MD rate Position,sum positions
287,0.9623,0.0151,0.0347,0.0588,67,10,15,25,117
253,0.9528,0.0155,0.0307,0.0584,76,17,8,16,117
368,0.9828,0.0156,0.0373,0.0606,44,18,20,38,120
127,0.9819,0.0153,0.0449,0.0567,49,14,48,9,120
238,0.9612,0.015,0.0357,0.059,68,9,17,28,122
328,0.9824,0.0149,0.0437,0.059,46,8,43,26,123
252,0.9751,0.0157,0.0365,0.0594,56,22,18,31,127
78,0.9624,0.0146,0.0422,0.0588,66,6,34,23,129
243,0.9686,0.0161,0.0421,0.0558,61,33,32,4,130
48,0.9751,0.0146,0.0423,0.06,55,5,35,35,130
51,0.9681,0.0157,0.039,0.0588,62,23,23,24,132
163,0.9877,0.0157,0.0453,0.0609,21,21,50,41,133
320,0.9791,0.0158,0.0446,0.0576,51,25,46,11,133
44,0.9561,0.0153,0.0328,0.0605,73,13,13,37,136
150,0.9843,0.0159,0.0458,0.0587,32,26,57,22,137
228,0.9878,0.0162,0.0381,0.0646,20,38,21,59,138
236,0.9835,0.0159,0.0398,0.0625,36,27,26,50,139
276,0.9846,0.0159,0.0435,0.0608,31,29,41,39,140
266,0.988,0.0152,0.0468,0.0623,17,12,62,49,140
362,0.9838,0.0157,0.0504,0.0566,34,24,76,7,141
329,0.9883,0.0163,0.0412,0.0642,15,41,30,57,143
332,0.9802,0.0163,0.0395,0.0595,50,39,25,32,146
299,0.9858,0.016,0.0431,0.0621,29,32,38,47,146
338,0.9892,0.0166,0.0454,0.0595,11,52,52,33,148
39,0.9679,0.0165,0.04,0.0568,63,48,27,10,148
265,0.9896,0.0167,0.0427,0.0619,7,58,37,46,148
375,0.9753,0.0149,0.0388,0.0671,54,7,22,67,150
77,0.9874,0.0155,0.0473,0.0617,25,16,64,45,150
298,0.9836,0.0173,0.0433,0.056,35,70,40,5,150
171,0.9874,0.0168,0.0422,0.0598,23,61,33,34,151
29,0.987,0.0152,0.0462,0.0642,26,11,58,56,151
318,0.9826,0.0157,0.0483,0.0583,45,20,71,15,151
267,0.989,0.0162,0.0442,0.0644,12,37,45,58,152
94,0.9586,0.014,0.0225,0.0793,70,2,4,76,152
311,0.9657,0.0154,0.0473,0.0566,64,15,65,8,152
335,0.982,0.0166,0.0411,0.0587,48,56,29,21,154
260,0.9885,0.0159,0.0449,0.065,14,31,47,62,154
280,0.9828,0.0166,0.0455,0.0563,43,50,55,6,154
141,0.9832,0.0159,0.0477,0.0585,40,30,68,17,155
312,0.9564,0.0145,0.0308,0.0698,71,4,10,70,155
326,0.9726,0.0164,0.0454,0.0536,60,42,53,1,156
264,0.9501,0.0156,0.0301,0.0637,79,19,7,53,158
295,0.9738,0.0169,0.039,0.0579,58,62,24,14,158
246,0.9504,0.013,0.0197,0.0798,78,1,2,77,158
350,0.9541,0.0144,0.0197,0.0807,74,3,3,78,158
16,0.9734,0.0169,0.0425,0.0539,59,63,36,2,160
161,0.9879,0.0161,0.0475,0.0615,19,36,66,42,163
199,0.9855,0.0165,0.0435,0.0616,30,49,42,43,164
365,0.9863,0.0164,0.0432,0.0638,27,45,39,55,166
73,0.9833,0.0167,0.0441,0.059,39,57,44,27,167
271,0.9861,0.0167,0.0465,0.0586,28,60,61,18,167
40,0.9779,0.0161,0.0514,0.055,52,35,78,3,168
378,0.9834,0.0176,0.0408,0.059,38,73,28,29,168
170,0.9841,0.0173,0.0463,0.0578,33,69,59,12,173
387,0.9894,0.0165,0.0473,0.0637,9,47,63,54,173
190,0.9834,0.0166,0.048,0.0578,37,54,70,13,174
250,0.9875,0.0171,0.0453,0.06,22,66,51,36,175
242,0.983,0.017,0.0451,0.0586,41,65,49,20,175
274,0.988,0.0164,0.0478,0.0622,16,43,69,48,176
146,0.9893,0.0163,0.0465,0.0661,10,40,60,66,176
393,0.983,0.0165,0.0372,0.0698,42,46,19,71,178
339,0.9904,0.0167,0.0456,0.0654,2,59,56,64,181
102,0.9631,0.0166,0.0352,0.0627,65,51,16,51,183
268,0.9889,0.0181,0.0417,0.0653,13,76,31,63,183
340,0.9541,0.0159,0.023,0.0787,75,28,5,75,183
89,0.9564,0.0161,0.0191,0.0973,72,34,1,79,186
197,0.9874,0.0182,0.0477,0.0586,24,77,67,19,187
82,0.988,0.0172,0.0499,0.0593,18,67,73,30,188
315,0.9898,0.0176,0.0455,0.065,4,72,54,61,191
360,0.9895,0.0164,0.0503,0.066,8,44,75,65,192
396,0.991,0.0179,0.0507,0.0609,1,74,77,40,192
234,0.9897,0.0166,0.0527,0.0649,5,55,79,60,199
273,0.9897,0.0179,0.0502,0.0616,6,75,74,44,199
231,0.9765,0.0173,0.0321,0.0686,53,71,12,69,205
148,0.9903,0.0183,0.0499,0.0637,3,78,72,52,205
377,0.9745,0.017,0.0309,0.0765,57,64,11,73,205
86,0.9823,0.0184,0.0308,0.0714,47,79,9,72,207
213,0.9518,0.0166,0.0241,0.078,77,53,6,74,210
2,0.9593,0.0172,0.0332,0.0681,69,68,14,68,219
